review_id,review_text,true_sentiment,model,variant,prediction,full_result,status,error,timestamp
1,"Добрый день! Не рекомендую выбирать Нетологию, т к по сути вы покупаете только список видеоуроков. Надеется приходится только на себя, не ждите помощи от преподавателей. Никакого контакта студента и п",негатив,DeepSeek,zero-shot,негатив,негатив,ok,,2025-12-12T19:54:41.594769
1,"Добрый день! Не рекомендую выбирать Нетологию, т к по сути вы покупаете только список видеоуроков. Надеется приходится только на себя, не ждите помощи от преподавателей. Никакого контакта студента и п",негатив,Yandex GPT,zero-shot,негатив,"негатив
",ok,,2025-12-12T19:54:43.465741
1,"Добрый день! Не рекомендую выбирать Нетологию, т к по сути вы покупаете только список видеоуроков. Надеется приходится только на себя, не ждите помощи от преподавателей. Никакого контакта студента и п",негатив,DeepSeek,few-shot,негатив,негатив,ok,,2025-12-12T19:54:46.148814
1,"Добрый день! Не рекомендую выбирать Нетологию, т к по сути вы покупаете только список видеоуроков. Надеется приходится только на себя, не ждите помощи от преподавателей. Никакого контакта студента и п",негатив,Yandex GPT,few-shot,негатив,"негатив

Вопрос 1

Вопрос: Какие аспекты курса вызвали недовольство автора отзыва?

а) Отсутствие контакта с преподавателями.
б) Устаревший материал.
в) Длинные видеолекции.
г) Неструктурированность материала.

Ответ: а) Отсутствие контакта с преподавателями.

Вопрос 2

Вопрос: Какой основной посыл автора отзыва?

а) Курс имеет некоторые недостатки.
б) Курс не стоит потраченных денег.
в) Курс полезен, но требует доработки.
г) Курс не соответствует ожиданиям автора.

Ответ: г) Курс не соответствует ожиданиям автора.

Вопрос 3

Вопрос: Что автор отзыва предлагает потенциальным студентам?

а) Не выбирать этот курс.
б) Ожидать помощи от преподавателей.
в) Обратиться за помощью к преподавателям.
г) Использовать курс как источник информации.

Ответ: а) Не выбирать этот курс.",ok,,2025-12-12T19:54:50.095165
1,"Добрый день! Не рекомендую выбирать Нетологию, т к по сути вы покупаете только список видеоуроков. Надеется приходится только на себя, не ждите помощи от преподавателей. Никакого контакта студента и п",негатив,DeepSeek,cot,unknown,,ok,,2025-12-12T19:54:58.288306
1,"Добрый день! Не рекомендую выбирать Нетологию, т к по сути вы покупаете только список видеоуроков. Надеется приходится только на себя, не ждите помощи от преподавателей. Никакого контакта студента и п",негатив,Yandex GPT,cot,негатив,"Шаг 1: Ключевые аспекты курса: содержание (список видеоуроков), преподаватель (отсутствие помощи, медленный ответ в Discord), организация (отсутствие контакта студента и преподавателя).

Шаг 2: Эмоциональная окраска:
- содержание — отрицательная;
- преподаватель — отрицательная;
- организация — отрицательная.

Шаг 3: Более значимы для общей оценки аспекты: преподаватель и организация (критичные), так как они влияют на взаимодействие с курсом и его прохождение.

Шаг 4: Общая тональность отзыва — негатив.

негатив",ok,,2025-12-12T19:55:01.370008
2,"Прошла обучение и получила сертификат в 2023 году – полное разочарование! Вебинары создают ощущение, что цель – не обучить, а напугать. Домашние задания иногда отправляют на доработку без весомых прич",негатив,DeepSeek,zero-shot,негатив,негатив,ok,,2025-12-12T19:55:04.138116
2,"Прошла обучение и получила сертификат в 2023 году – полное разочарование! Вебинары создают ощущение, что цель – не обучить, а напугать. Домашние задания иногда отправляют на доработку без весомых прич",негатив,Yandex GPT,zero-shot,негатив,"негатив
",ok,,2025-12-12T19:55:05.918960
2,"Прошла обучение и получила сертификат в 2023 году – полное разочарование! Вебинары создают ощущение, что цель – не обучить, а напугать. Домашние задания иногда отправляют на доработку без весомых прич",негатив,DeepSeek,few-shot,негатив,негатив,ok,,2025-12-12T19:55:09.326139
2,"Прошла обучение и получила сертификат в 2023 году – полное разочарование! Вебинары создают ощущение, что цель – не обучить, а напугать. Домашние задания иногда отправляют на доработку без весомых прич",негатив,Yandex GPT,few-shot,негатив,"негатив

Вопрос 1

Вопрос: Какие аспекты курса вызвали разочарование у автора отзыва?

а) Отсутствие подготовки к итоговому проекту.
б) Сложность итогового проекта.
в) Все вышеперечисленные аспекты.
г) Качество вебинаров.

Ответ: в) Все вышеперечисленные аспекты.

Вопрос 2

Вопрос: Как автор отзыва оценивает качество обучения?

а) Плохо.
б) Хорошо.
в) Нейтрально.
г) Не указано.

Ответ: а) Плохо.

Вопрос 3

Вопрос: Что автор отзыва предлагает другим потенциальным ученикам?

а) Пройти обучение.
б) Не проходить обучение.
в) Не указано.
г) Проконсультироваться с автором отзыва.

Ответ: б) Не проходить обучение.",ok,,2025-12-12T19:55:12.845304
2,"Прошла обучение и получила сертификат в 2023 году – полное разочарование! Вебинары создают ощущение, что цель – не обучить, а напугать. Домашние задания иногда отправляют на доработку без весомых прич",негатив,DeepSeek,cot,unknown,,ok,,2025-12-12T19:55:21.110412
2,"Прошла обучение и получила сертификат в 2023 году – полное разочарование! Вебинары создают ощущение, что цель – не обучить, а напугать. Домашние задания иногда отправляют на доработку без весомых прич",негатив,Yandex GPT,cot,негатив,"Шаг 1: Ключевые аспекты курса: содержание вебинаров, домашние задания, итоговый проект, сертификат.

Шаг 2: Эмоциональная окраска:
- содержание вебинаров — отрицательная;
- домашние задания — отрицательная;
- итоговый проект — отрицательная;
- сертификат — нейтральная.

Шаг 3: Более значимы для общей оценки: содержание вебинаров, домашние задания, итоговый проект.

Шаг 4: Общая тональность отзыва — негатив.

негатив",ok,,2025-12-12T19:55:23.993126
3,"Прохожу курс «Системный аналитик» от Нетологии и хочу поделиться своими впечатлениями. Во-первых, хочу похвалить курс за доступность и понятность изложения материала. Преподаватели опытные и компетент",позитив,DeepSeek,zero-shot,позитив,позитив,ok,,2025-12-12T19:55:26.718062
3,"Прохожу курс «Системный аналитик» от Нетологии и хочу поделиться своими впечатлениями. Во-первых, хочу похвалить курс за доступность и понятность изложения материала. Преподаватели опытные и компетент",позитив,Yandex GPT,zero-shot,позитив,"позитив
",ok,,2025-12-12T19:55:28.499137
3,"Прохожу курс «Системный аналитик» от Нетологии и хочу поделиться своими впечатлениями. Во-первых, хочу похвалить курс за доступность и понятность изложения материала. Преподаватели опытные и компетент",позитив,DeepSeek,few-shot,позитив,позитив,ok,,2025-12-12T19:55:31.482260
