id;отзыв;тональность
1;Добрый день! Не рекомендую выбирать Нетологию, т к по сути вы покупаете только список видеоуроков. Надеется приходится только на себя, не ждите помощи от преподавателей. Никакого контакта студента и преподавателя по факту нет. Преподаватели отвечают в дискорде оооочень долго, в лучшем случаи на след день.;негатив
2;Прошла обучение и получила сертификат в 2023 году – полное разочарование! Вебинары создают ощущение, что цель – не обучить, а напугать. Домашние задания иногда отправляют на доработку без весомых причин. Итоговый проект оказался сложным из-за отсутствия подготовки, которую пришлось получать из внешних источников. Не рекомендую!;негатив
3;Прохожу курс «Системный аналитик» от Нетологии и хочу поделиться своими впечатлениями. Во-первых, хочу похвалить курс за доступность и понятность изложения материала. Преподаватели опытные и компетентные, они смогли объяснить даже самые сложные темы простым и доступным языком.Во-вторых, хочу отметить, что видеозаписи уроков хранятся долгое время, что позволяет пересмотреть их при необходимости. Это очень удобно, так как всегда можно освежить знания или повторить материал.В целом, курс «Системный аналитик» от Нетологии — это отличное решение, не пожалел. Рекомендую!;позитив
4;Прошел обучение в Нетологии, и впечатления не самые положительные. Лекции здесь довольно стандартные и средние. Хотя материал передается структурированно и актуально, слушать становится скучновато. Преподаватели владеют своей областью, но их рассказы не увлекают. Они часто используют профессиональную лексику, из-за которой сложно понять, о чем идет речь. Приходится часто обращаться к справочникам и Wikipedia.;нейтрал
5;Курс по моушн-дизайну оказался интереснее, чем ожидала. Особенно воркшопы — там реально учишься на практике, и это круто. Но честно, времени на всё всегда не хватает, задания забирают больше, чем думала. Иногда прям в последний момент сдаю курсовую. Кураторы помогают, но хотелось бы больше гибкости. Курс отличный для тех, кто готов реально вкладываться, но отдыхать точно не получится.;нейтрал
6;Курс в целом неплохой. Много практики и хороших заданий, особенно понравилось, что можно спокойно вернуться к записям, если пропустил. Правда, пару раз проверка домашки затянулась, что немного выбивало из ритма, но не критично. Преподаватели компетентные, всегда отвечали на вопросы. В общем, довольна, но можно было бы улучшить систему проверки. Но это, наверное, мелочи.;позитив
7;Решил не запариваться и приобрел подписку на полный цикл лекций онлайн. 95% лекций оказались просто отличными – четкая информация от профессионалов. Длительность лекций оптимальная, не перегружает новой информацией. Правда, остальные 5% лекций кажутся поверхностными, скорее рекламными, что немного подпортило впечатление. В целом, подписка стоит своих денег.;позитив
8;Курс оказался настоящим разочарованием. Работаю в сфере бизнеса и системного анализа уже 4 года, и могу с уверенностью сказать, что из всего материала на практике пригодилось всего около 1%. Зачем им нужен был функционал финансового аналитика? Курс стоил 100 тысяч, но в итоге пришлось учиться самостоятельно.;негатив
9;Если вы только начинаете свой путь, то, вероятно, лучше поискать другие варианты. Обещанных кураторов на самом деле нет, а ответы на вопросы отправляют в чат с другими студентами. В чате половина также новички, а другая половина уже опытные и их советы часто сложно понять. Ответы от педагогов ждать приходится несколько дней. Обучение превратилось в самообучение, что вызывает разочарование.;негатив
10;Достаточно много практического материала в курсе, требуется соблюдать жесткие дедлайны, много полезного материала, мало общения с наставниками и не хватает общения с ревьюверами. Есть командный проект ,где можно прокачать софт скиллы;нейтрал
11;"У меня была цель - купить короткий курс и пройтись по самым важным темам По телефону меня уверяли: оцениваем весь курс как 3 месяца , но можете идти в своем темпе По факту я прошла курс, потратила очень много сил и времени, тяжело совмещать с работой. А теперь оказывается там еще есть итоговый проект, о котором мне даже никто не сказал. И в их документе про итоговый проект написано ""подготовка занимает до 4 месяцев. 4 месяца!!! К такому огромному итоговому проекту я готова не была, у меня просто не хватит ресурсов его сделать. И ведь моя просьба была: в маленьком онлайн курсе, а продали лишь бы денег заработать. Служба лояльности сказала ""Вы не правы, мы ничего сделать не можем"" Самые неприятные впечатления , не советую, ищите более адекватные ресурсы, чтобы обучаться";негатив
12;Я работал маркетологом более 5 лет и давно чувствовал, что хочу перейти на уровень стратегического управления. Курс дал именно это — системное понимание роли маркетинг-директора. Научился выстраивать воронки, управлять бюджетами, анализировать эффективность каналов и взаимодействовать с другими отделами. Очень сильная программа.;позитив
13;Обучение проходило комфортно, кураторы в основном отличные. Видеоуроки интересны, но для новичков, если нет личного кабинета сложновато (много в уме держишь). Нет тестового входа в личный кабинет. Бесплатные интенсивы очень полезны. По итогу окончания обучения для получения сертификата надо подавать заявку. А по трудоустройству (включено в курс) уже все непонятно и ответы не поступают на запросы.;нейтрал
14;Нравиться учиться из-за структурированности материалов. Не надо искать какую тему дальше учить, есть готовые собранные модули. Видео уроки четкие, дополнительные статьи и задания дают закрепить материал. Менторы и координаторы всегда на связи и объясняют сложные моменты. Особенно приятно, что обучение полностью онлайн, но при этом не чувствуешь себя один, всегда есть к кому обратиться. Курс отличный старт для новичков.;позитив
15;С мая 2025 года прохожу курс Python-разработчик PRO в Скиллфэктори. Формат удобный, можно выделять несколько часов в день и идти как удобно (ц меня без дедлайнов). Менторы помогают с материалом, кураторы с организацией, все отвечают быстро и понятно. Материал доступнй, даже для гуманитария с дипломом почти 10 лет назад))) Текстовые уроки чередуются с видео, желание бросить полностью отсутствует. Спасибо!;позитив
16;"Начнем с того, что в курсе очень много воды, те самые ""80% практики"" их нет и не будет в курсе. Самое смешное, что они дают домашнее задание, в курсе, но при этом они не проверяются, ""проверяются"" только итоговые задания и проекты. Про проверки проектов и итоговых заданий скажу то, что они их не проверяют, ""Фролова Дарья"" якобы ментор данного курса, которая проверяет задания, я проверил на своих заданиях, какой бы файл я не отправил, в проверку, у меня 10/10 еще и с отзывом на мое решение.";негатив
17;Прошло уже 3 года с окончания обучения. Работу - не нашёл. Год работали с консультантом по трудоустройству - безрезультатно. Полгода потратил впустую - стажировка в какой-то компании, в которой даже задание дать не могли нормальное. Приходилось выпрашивать. Я решил подтянуть скил самостоятельно - и тут выяснилось, что мне даже базы не дали. А ведь это не курс, а профессия.;негатив
18;Отучился на курсе на Skillbox по программированию. Плюсы: доступ к материалам в любое время, поддержка работает быстро, видео структурированы по темам. Минусы: большое количество рекламных уведомлений и акций отвлекает, не всегда понятно что именно включено в основной курс, а что в бонусные модули. В целом курс полезен для систематизации знаний но требует внимательности при навигации по платформе.;нейтрал
19;Прохожу курс по UX/UI дизайну, занимаюсь в свободное время и могу смотреть видео, когда удобно. Материал подан понятно, есть практические задания плюс куратор всегда отвечает на вопросы в телеграм-чате. Иногда сложно попасть на консультацию, а кое-что в уроках уже устарело, но в целом обучение глубокое и дает полный обзор профессии, особенно если вы новичок.;позитив
20;Очень положительные впечатления от курса. Много практики. Актуальные подходы обучения, живое общение с работающими программистами, по окончанию обучения выдают диплом о повышении квалификации, и еще много много всего. Проходит обучение интересно, но помимо самих курсов есть еще всякие интенсивы онлайн митапы и прочие возможности попрактиковаться. Есть программа трудоустройства, где тебе помогают составить резюме и помогают подготовиться к интервью. После последнего модуля в профессии получил приглашение на интервью и получил работу.;позитив
21;"Я прошла курс ""Продвижение в Инстаграм"" и нисколько не пожалела денег и потраченного времени! Вся информация подана очень подробно и грамотно. Если возникают сложности, то свои вопросы всегда можно задать кураторам при личном общении в домашних заданиях или телеграм-чате курса.Могу сказать, что на курсе получила всю необходимую информацию для работы, которую успешно применяю. Курс постоянно обновляется в соответствии с обновлениями социальной сети.Спасибо за отличный курс!";позитив
22;мне все очень нравится, множество плюсов на данной платформе: постоянная поддержка куратора, поддержка в чат телеграмме, всегда помогут разобраться и решить проблему,на уроках все понятно объясняют, а если остались вопросы то можно задать куратору прямо на платформе, всегда готовы помочь. Большой плюс что есть какие то бонусы, в виде подарочных курсов и тд. а еще есть рассрочка на курсы что снимает финансовую нагрузку что тоже не плохо. Видео все качественные и интересные, сам курс мне очень нравится, планирую работать в дальнейшей в данной сфере;позитив
23;Приобрела курс в сентябре 2022 года , 28.11.2023 заканчиваю обучение на ux/ui designer с нуля до pro.Видеоматериал отлично снят, спикеры- профессионалы своего дела. Большая часть уроков понятна и хорошо раскрыта, но без самообучения никуда.Координатор справляется на отлично со своими обязанностями.Менторы -школьники, которые вряд ли помогут в нестандартном вопросе.Дают альтернативные варианты решения, так как судя по всему не знают как делать иначе.Нахожусь в поисках работы в течение 4 месяцев,пока безуспешно.;нейтрал
24;Прохожу обучение на дизайнера интерьера. Курс подходит для тех, кто сомневается, стоит ли заниматься этой профессией, предоставляет общее представление. Мне нравится практический подход - не так много теории. Платформа удобная, но общение с наставниками и однокурсниками происходит через отдельную программу, что неудобно. К минусам добавлю задания, которые нужно выполнять с однокурсниками. Пока не удалось связаться с ними, и это обидно получать заниженные оценки, когда это не от тебя зависит.;нейтрал
25;Мой опыт с Нетологией оказался неудачным. Начало обучения было обещающим, но на практике столкнулась с рядом проблем. Материал был сырым, проверка заданий неэффективна, а лекции оставляли желать лучшего. Заморозила обучение, но возврат денег предложили крайне невыгодный. В итоге, потеряла деньги, не получив никаких знаний. Сравнив с другим учебным заведением, где стала разработчиком, убедилась, что Нетология - это пустая трата времени и денег.;негатив
26;Видели много положительных отзывов? Все вранье!!! Их пишут за бонусы , сам знаю. Конкретно про школу учился на курсе Java разработчика. Очень плохая подача материала , случайное видео с ютуба в 100 раз лучше чем их учителя. Сдача домашних заданий ужас. Что то не так, тебе просто кидают строчку которую ты сделал не правильно. И начинается очень долгое посещение в гугл. В итоге заморозил курс, получил подтверждение в чате, в итоге он не заморозился и мои не пройдённые темы просто ушли в унитаз, потом что курс не открывается на всегда , а закрывается со временем. Тех Поддержка стучит с дна с низу... Просто зря потраченные деньги...;негатив
